SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFile: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_EM: 0.3 xsec_had: 1.3 N: 11 xMax: 10  Coincidence: 1
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.952637 0.952634
1 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.952637 0.952634
2 0.979528 0.982624 0.189574 0.211392 0.810426 0.788608 0.957247 0.952703
3 0.964882 0.982494 0.06563 0.201206 0.93437 0.798794 0.984546 0.954873
4 0.958149 0.982187 0.021444 0.193982 0.978556 0.806018 0.994862 0.95641
5 0.953799 0.981722 0.01151 0.190472 0.98849 0.809528 0.997223 0.957145
6 0.949219 0.981071 0.0087 0.187576 0.9913 0.812424 0.997889 0.957743
7 0.943609 0.980163 0.006922 0.183866 0.993078 0.816134 0.99831 0.958507
8 0.93654 0.978913 0.005528 0.17954 0.994472 0.82046 0.99864 0.959394
9 0.928129 0.977284 0.004502 0.174512 0.995498 0.825488 0.998882 0.960423
10 0.918632 0.975343 0.003602 0.168728 0.996398 0.831272 0.999096 0.961611
