SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0 xsec_had: 1.3 N: 11 xMax: 10 trkptcut: 0
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.989944 0.98995 0.531392 0.531432 0 0 0.468608 0.468568 0.889779 0.889772
1 0.989944 0.98995 0.531392 0.531432 0 0 0.468608 0.468568 0.889779 0.889772
2 0.986827 0.989947 0.475857 0.530624 0 0 0.524143 0.469376 0.899864 0.889921
3 0.972072 0.989815 0.164741 0.505055 0 0 0.835259 0.494945 0.962363 0.894654
4 0.965288 0.989506 0.0538275 0.486922 0 0 0.946173 0.513078 0.987295 0.898022
5 0.960907 0.989037 0.0288917 0.478112 0 0 0.971108 0.521888 0.993109 0.899639
6 0.956292 0.988382 0.0218382 0.470842 0 0 0.978162 0.529158 0.994758 0.900955
7 0.950641 0.987467 0.0173752 0.46153 0 0 0.982625 0.53847 0.9958 0.902642
8 0.943519 0.986207 0.0138761 0.450671 0 0 0.986124 0.549329 0.996618 0.904605
9 0.935045 0.984567 0.0113007 0.43805 0 0 0.988699 0.56195 0.997219 0.906887
10 0.925477 0.982611 0.00904153 0.423531 0 0 0.990958 0.576469 0.997751 0.909531
