HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.943534 0.94353
1 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.943534 0.94353
2 0.979528 0.982624 0.189574 0.211392 0.810426 0.788608 0.948983 0.943611
3 0.964882 0.982494 0.06563 0.201206 0.93437 0.798794 0.981456 0.946175
4 0.958149 0.982187 0.021444 0.193982 0.978556 0.806018 0.993822 0.947992
5 0.953799 0.981722 0.01151 0.190472 0.98849 0.809528 0.996659 0.948862
6 0.949219 0.981071 0.0087 0.187576 0.9913 0.812424 0.997461 0.949569
7 0.943609 0.980163 0.006922 0.183866 0.993078 0.816134 0.997966 0.950473
8 0.93654 0.978913 0.005528 0.17954 0.994472 0.82046 0.998363 0.951523
9 0.928129 0.977284 0.004502 0.174512 0.995498 0.825488 0.998654 0.952742
10 0.918632 0.975343 0.003602 0.168728 0.996398 0.831272 0.998912 0.95415
11 0.908137 0.972806 0.002946 0.16242 0.997054 0.83758 0.9991 0.955678
12 0.896619 0.969861 0.002368 0.15576 0.997632 0.84424 0.999267 0.957294
13 0.884258 0.966374 0.001918 0.148782 0.998082 0.851218 0.999398 0.958988
14 0.871383 0.962444 0.001558 0.141452 0.998442 0.858548 0.999504 0.960776
15 0.857911 0.957995 0.001258 0.134162 0.998742 0.865838 0.999593 0.962555
16 0.844036 0.952992 0.000996 0.126786 0.999004 0.873214 0.999672 0.964361
17 0.829642 0.947436 0.00078 0.119532 0.99922 0.880468 0.999739 0.966141
18 0.814739 0.941409 0.000644 0.112542 0.999356 0.887458 0.99978 0.96786
19 0.800231 0.934979 0.00053 0.105572 0.99947 0.894428 0.999816 0.969589
20 0.785629 0.928201 0.000432 0.099056 0.999568 0.900944 0.999847 0.971209
21 0.771208 0.920865 0.000344 0.092622 0.999656 0.907378 0.999876 0.97282
22 0.756589 0.913387 0.000278 0.086634 0.999722 0.913366 0.999898 0.974329
23 0.742155 0.905404 0.00021 0.080828 0.99979 0.919172 0.999921 0.975802
24 0.727879 0.897292 0.000168 0.07552 0.999832 0.92448 0.999936 0.977155
25 0.713981 0.888916 0.000138 0.070426 0.999862 0.929574 0.999946 0.978466
26 0.700012 0.880298 0.000118 0.065652 0.999882 0.934348 0.999953 0.979704
27 0.686304 0.871608 0.000106 0.061158 0.999894 0.938842 0.999957 0.980882
28 0.672849 0.862676 9.2e-05 0.05682 0.999908 0.94318 0.999962 0.982033
29 0.659597 0.853568 7.6e-05 0.052876 0.999924 0.947124 0.999968 0.983084
30 0.646572 0.844383 6.6e-05 0.04927 0.999934 0.95073 0.999972 0.98405
31 0.633971 0.835205 5.2e-05 0.045826 0.999948 0.954174 0.999977 0.984988
32 0.621196 0.825777 3.8e-05 0.042722 0.999962 0.957278 0.999983 0.985833
33 0.608902 0.816251 3e-05 0.039676 0.99997 0.960324 0.999986 0.986678
34 0.596807 0.806997 2.2e-05 0.036936 0.999978 0.963064 0.99999 0.987446
35 0.584964 0.79771 2.2e-05 0.034268 0.999978 0.965732 0.99999 0.988208
36 0.573215 0.788319 2.2e-05 0.031844 0.999978 0.968156 0.999989 0.988904
37 0.562004 0.778999 1.8e-05 0.029666 0.999982 0.970334 0.999991 0.989532
38 0.551048 0.769759 1.6e-05 0.027532 0.999984 0.972468 0.999992 0.990162
39 0.539987 0.760739 1.4e-05 0.025632 0.999986 0.974368 0.999993 0.990727
40 0.529082 0.751748 1.2e-05 0.0238 0.999988 0.9762 0.999994 0.991282
41 0.518592 0.742553 6e-06 0.022184 0.999994 0.977816 0.999997 0.99177
42 0.508426 0.733483 2e-06 0.020628 0.999998 0.979372 0.999999 0.992249
43 0.498211 0.724542 2e-06 0.019268 0.999998 0.980732 0.999999 0.992667
44 0.488182 0.715564 2e-06 0.018042 0.999998 0.981958 0.999999 0.993045
45 0.478369 0.706783 2e-06 0.016822 0.999998 0.983178 0.999999 0.993432
46 0.468806 0.698 2e-06 0.015794 0.999998 0.984206 0.999999 0.993754
47 0.459342 0.689388 0 0.014804 1 0.985196 1 0.99407
48 0.450147 0.680943 0 0.013816 1 0.986184 1 0.994396
49 0.441081 0.672367 0 0.012966 1 0.987034 1 0.994672
50 0.43233 0.663892 0 0.012164 1 0.987836 1 0.994936
