SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFile: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_EM: 0.0003 xsec_had: 1.3 N: 31 xMax: 30  Coincidence: 1
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.99995 0.99995
1 0.982621 0.982628 0.211698 0.211714 0.788302 0.788286 0.99995 0.99995
2 0.979528 0.982624 0.189574 0.211392 0.810426 0.788608 0.999955 0.99995
3 0.964882 0.982494 0.06563 0.201206 0.93437 0.798794 0.999984 0.999953
4 0.958149 0.982187 0.021444 0.193982 0.978556 0.806018 0.999995 0.999954
5 0.953799 0.981722 0.01151 0.190472 0.98849 0.809528 0.999997 0.999955
6 0.949219 0.981071 0.0087 0.187576 0.9913 0.812424 0.999998 0.999956
7 0.943609 0.980163 0.006922 0.183866 0.993078 0.816134 0.999998 0.999957
8 0.93654 0.978913 0.005528 0.17954 0.994472 0.82046 0.999999 0.999958
9 0.928129 0.977284 0.004502 0.174512 0.995498 0.825488 0.999999 0.999959
10 0.918632 0.975343 0.003602 0.168728 0.996398 0.831272 0.999999 0.99996
11 0.908137 0.972806 0.002946 0.16242 0.997054 0.83758 0.999999 0.999961
12 0.896619 0.969861 0.002368 0.15576 0.997632 0.84424 0.999999 0.999963
13 0.884258 0.966374 0.001918 0.148782 0.998082 0.851218 0.999999 0.999964
14 0.871383 0.962444 0.001558 0.141452 0.998442 0.858548 1 0.999966
15 0.857911 0.957995 0.001258 0.134162 0.998742 0.865838 1 0.999968
16 0.844036 0.952992 0.000996 0.126786 0.999004 0.873214 1 0.999969
17 0.829642 0.947436 0.00078 0.119532 0.99922 0.880468 1 0.999971
18 0.814739 0.941409 0.000644 0.112542 0.999356 0.887458 1 0.999972
19 0.800231 0.934979 0.00053 0.105572 0.99947 0.894428 1 0.999974
20 0.785629 0.928201 0.000432 0.099056 0.999568 0.900944 1 0.999975
21 0.771208 0.920865 0.000344 0.092622 0.999656 0.907378 1 0.999977
22 0.756589 0.913387 0.000278 0.086634 0.999722 0.913366 1 0.999978
23 0.742155 0.905404 0.00021 0.080828 0.99979 0.919172 1 0.999979
24 0.727879 0.897292 0.000168 0.07552 0.999832 0.92448 1 0.999981
25 0.713981 0.888916 0.000138 0.070426 0.999862 0.929574 1 0.999982
26 0.700012 0.880298 0.000118 0.065652 0.999882 0.934348 1 0.999983
27 0.686304 0.871608 0.000106 0.061158 0.999894 0.938842 1 0.999984
28 0.672849 0.862676 9.2e-05 0.05682 0.999908 0.94318 1 0.999985
29 0.659597 0.853568 7.6e-05 0.052876 0.999924 0.947124 1 0.999986
30 0.646572 0.844383 6.6e-05 0.04927 0.999934 0.95073 1 0.999987
