SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFile: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
xsec_EM: 0.3 xsec_had: 1.3 N: 31 xMax: 30  Coincidence: 2
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.952677 0.952634
1 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.952677 0.952634
2 0.972961 0.982584 0.141604 0.208646 0.858396 0.791354 0.967505 0.953287
3 0.956058 0.981952 0.017818 0.192158 0.982182 0.807842 0.995718 0.956792
4 0.948806 0.980874 0.00653 0.186498 0.99347 0.813502 0.998414 0.957967
5 0.940023 0.979187 0.004054 0.180478 0.995946 0.819522 0.999006 0.959201
6 0.929199 0.976815 0.002732 0.173212 0.997268 0.826788 0.999322 0.960688
7 0.915905 0.97346 0.001842 0.164378 0.998158 0.835622 0.999536 0.962494
8 0.900766 0.969064 0.001178 0.154442 0.998822 0.845558 0.999698 0.964526
9 0.883795 0.96363 0.000744 0.143766 0.999256 0.856234 0.999806 0.966717
10 0.86574 0.957035 0.000502 0.132768 0.999498 0.867232 0.999866 0.968979
11 0.846946 0.949219 0.000338 0.12155 0.999662 0.87845 0.999908 0.971298
12 0.827447 0.9405 0.000214 0.110506 0.999786 0.889494 0.99994 0.973601
13 0.808202 0.930725 0.000156 0.099936 0.999844 0.900064 0.999955 0.97582
14 0.788643 0.919947 9.8e-05 0.08982 0.999902 0.91018 0.999971 0.977965
15 0.769198 0.908606 5.8e-05 0.08029 0.999942 0.91971 0.999983 0.980015
16 0.750192 0.896481 4e-05 0.071464 0.99996 0.928536 0.999988 0.981936
17 0.731505 0.883883 2.6e-05 0.063298 0.999974 0.936702 0.999992 0.983742
18 0.713394 0.871182 1.6e-05 0.055774 0.999984 0.944226 0.999995 0.985441
19 0.695836 0.857885 1.2e-05 0.048996 0.999988 0.951004 0.999996 0.986992
20 0.678353 0.84457 8e-06 0.043292 0.999992 0.956708 0.999997 0.988309
21 0.661346 0.831119 8e-06 0.038172 0.999992 0.961828 0.999997 0.989512
22 0.644908 0.817503 6e-06 0.033442 0.999994 0.966558 0.999998 0.990648
23 0.628634 0.803846 4e-06 0.029246 0.999996 0.970754 0.999999 0.991674
24 0.613001 0.790207 4e-06 0.0257 0.999996 0.9743 0.999998 0.992551
25 0.597897 0.77689 4e-06 0.022492 0.999996 0.977508 0.999998 0.993363
26 0.583056 0.763403 4e-06 0.019664 0.999996 0.980336 0.999998 0.994091
27 0.568552 0.750068 2e-06 0.017148 0.999998 0.982852 0.999999 0.994752
28 0.554449 0.737051 0 0.014996 1 0.985004 1 0.995327
29 0.540723 0.724057 0 0.013196 1 0.986804 1 0.995812
30 0.527145 0.710937 0 0.011516 1 0.988484 1 0.996276
