SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFile: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_EM: 0.0003 xsec_had: 1.3 N: 31 xMax: 30  Coincidence: 1
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982621 0.982628 0.63123 0.631264 0.36877 0.368736 0.999852 0.999852
1 0.982621 0.982628 0.63123 0.631264 0.36877 0.368736 0.999852 0.999852
2 0.979528 0.982624 0.608258 0.631102 0.391742 0.368898 0.999857 0.999852
3 0.964882 0.982494 0.505688 0.625614 0.494312 0.374386 0.999879 0.999853
4 0.958149 0.982187 0.457568 0.620442 0.542432 0.379558 0.99989 0.999854
5 0.953799 0.981722 0.430188 0.616532 0.569812 0.383468 0.999896 0.999855
6 0.949219 0.981071 0.407254 0.612404 0.592746 0.387596 0.999901 0.999856
7 0.943609 0.980163 0.382608 0.607118 0.617392 0.392882 0.999906 0.999857
8 0.93654 0.978913 0.356876 0.600178 0.643124 0.399822 0.999912 0.999859
9 0.928129 0.977284 0.330636 0.591564 0.669364 0.408436 0.999918 0.99986
10 0.918632 0.975343 0.303646 0.581446 0.696354 0.418554 0.999924 0.999862
11 0.908137 0.972806 0.276902 0.569488 0.723098 0.430512 0.99993 0.999865
12 0.896619 0.969861 0.250918 0.555598 0.749082 0.444402 0.999935 0.999868
13 0.884258 0.966374 0.225752 0.54053 0.774248 0.45947 0.999941 0.999871
14 0.871383 0.962444 0.20178 0.523666 0.79822 0.476334 0.999947 0.999874
15 0.857911 0.957995 0.179738 0.50572 0.820262 0.49428 0.999952 0.999878
16 0.844036 0.952992 0.158474 0.486698 0.841526 0.513302 0.999957 0.999882
17 0.829642 0.947436 0.140124 0.466542 0.859876 0.533458 0.999961 0.999886
18 0.814739 0.941409 0.123116 0.446354 0.876884 0.553646 0.999965 0.999891
19 0.800231 0.934979 0.107538 0.425352 0.892462 0.574648 0.999969 0.999895
20 0.785629 0.928201 0.093506 0.40456 0.906494 0.59544 0.999973 0.999899
21 0.771208 0.920865 0.081114 0.38363 0.918886 0.61637 0.999976 0.999904
22 0.756589 0.913387 0.070276 0.363074 0.929724 0.636926 0.999979 0.999908
23 0.742155 0.905404 0.061062 0.342844 0.938938 0.657156 0.999981 0.999913
24 0.727879 0.897292 0.052948 0.323234 0.947052 0.676766 0.999983 0.999917
25 0.713981 0.888916 0.0458 0.303972 0.9542 0.696028 0.999985 0.999921
26 0.700012 0.880298 0.039616 0.286022 0.960384 0.713978 0.999987 0.999925
27 0.686304 0.871608 0.034312 0.268336 0.965688 0.731664 0.999988 0.999929
28 0.672849 0.862676 0.029484 0.251534 0.970516 0.748466 0.99999 0.999933
29 0.659597 0.853568 0.025312 0.23595 0.974688 0.76405 0.999991 0.999936
30 0.646572 0.844383 0.021992 0.22096 0.978008 0.77904 0.999992 0.99994
