SignalFile: /data00/OOsamples/Skims/skim_HiForest_250520_Hijing_MinimumBias_b015_OO_5362GeV_250518.root
BackgroundFileSD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_SingleDiffraction_OO_5362GeV_1505PR47944.root
BackgroundFileDD: /data00/OOsamples/Skims/skim_HiForest_250514_Starlight_DoubleDiffraction_OO_5362GeV_1505PR47944.root
xsec_SD: 0.3 xsec_DD: 0.0003 xsec_had: 1.3 N: 31 xMax: 30 trkptcut: 4
HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) Eff_DD(AND) Eff_DD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.999136 0.999136 0.754527 0.754527 0.939815 0.939815 0.245473 0.245473 0.851434 0.851434
1 0.999136 0.999136 0.754527 0.754527 0.939815 0.939815 0.245473 0.245473 0.851434 0.851434
2 0.99909 0.999136 0.706237 0.754527 0.922685 0.939815 0.293763 0.245473 0.859594 0.851434
3 0.99871 0.999136 0.295775 0.752515 0.82963 0.939815 0.704225 0.247485 0.93586 0.851771
4 0.998519 0.999125 0.132797 0.748491 0.775463 0.938426 0.867203 0.251509 0.970054 0.852445
5 0.998351 0.999121 0.0885312 0.742455 0.738889 0.935185 0.911469 0.257545 0.979782 0.853459
6 0.998132 0.999113 0.0764588 0.736419 0.705556 0.933333 0.923541 0.263581 0.982472 0.854475
7 0.997882 0.999105 0.0643863 0.730382 0.664815 0.92963 0.935614 0.269618 0.985179 0.855494
8 0.997433 0.999078 0.056338 0.716298 0.620833 0.922222 0.943662 0.283702 0.986993 0.857879
9 0.996952 0.999054 0.0382294 0.700201 0.588889 0.908333 0.961771 0.299799 0.991095 0.860624
10 0.99628 0.999 0.028169 0.684105 0.548148 0.896759 0.971831 0.315895 0.993392 0.863382
11 0.995491 0.998933 0.0221328 0.645875 0.499537 0.886111 0.977867 0.354125 0.994781 0.87001
12 0.994572 0.99882 0.0201207 0.619718 0.451389 0.869907 0.979879 0.380282 0.995249 0.874598
13 0.993462 0.998695 0.0140845 0.609658 0.407407 0.855556 0.985915 0.390342 0.996645 0.876369
14 0.9922 0.998554 0.0120724 0.593561 0.368981 0.834259 0.987928 0.406439 0.997115 0.879224
15 0.990641 0.998382 0.0100604 0.565392 0.331481 0.810648 0.98994 0.434608 0.997585 0.884272
16 0.988918 0.998175 0.0100604 0.523139 0.300926 0.786574 0.98994 0.476861 0.997588 0.89196
17 0.98705 0.997863 0.00804829 0.50503 0.272222 0.768056 0.991952 0.49497 0.998058 0.895277
18 0.984866 0.997566 0.00603622 0.482897 0.244907 0.744907 0.993964 0.517103 0.99853 0.899376
19 0.98258 0.997194 0.00603622 0.460765 0.214815 0.714815 0.993964 0.539235 0.998534 0.90351
20 0.979829 0.99678 0.00402414 0.438632 0.191204 0.690278 0.995976 0.561368 0.999008 0.90768
21 0.976835 0.996292 0.00402414 0.412475 0.166667 0.660185 0.995976 0.587525 0.999011 0.912664
22 0.973561 0.995748 0.00402414 0.386318 0.145833 0.632407 0.995976 0.613682 0.999013 0.917703
23 0.970282 0.995108 0.00402414 0.360161 0.130556 0.605093 0.995976 0.639839 0.999013 0.922796
24 0.966589 0.99424 0.00402414 0.342052 0.115741 0.577778 0.995976 0.657948 0.999013 0.926332
25 0.96265 0.993357 0.00402414 0.325956 0.106019 0.549537 0.995976 0.674044 0.999011 0.929497
26 0.95854 0.992415 0.00402414 0.307847 0.0939815 0.52963 0.995976 0.692153 0.99901 0.93309
27 0.954198 0.991485 0.00201207 0.301811 0.0837963 0.503704 0.997988 0.698189 0.999493 0.934262
28 0.949654 0.990352 0.00201207 0.287726 0.0740741 0.481019 0.997988 0.712274 0.999493 0.937069
29 0.944839 0.989129 0 0.261569 0.0634259 0.462037 1 0.738431 0.999985 0.942389
30 0.939724 0.987789 0 0.249497 0.0583333 0.439815 1 0.750503 0.999986 0.944831
