HFEMaxCut Eff_Hijing(AND) Eff_Hijing(OR) Eff_SD(AND) Eff_SD(OR) BKGRej(AND) BKGRej(OR) Purity(AND) Purity(OR)
0 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.943581 0.94353
1 0.982581 0.982628 0.211504 0.211714 0.788496 0.788286 0.943581 0.94353
2 0.972961 0.982584 0.141604 0.208646 0.858396 0.791354 0.961143 0.944301
3 0.956058 0.981952 0.017818 0.192158 0.982182 0.807842 0.99485 0.948444
4 0.948806 0.980874 0.00653 0.186498 0.99347 0.813502 0.998092 0.949834
5 0.940023 0.979187 0.004054 0.180478 0.995946 0.819522 0.998803 0.951295
6 0.929199 0.976815 0.002732 0.173212 0.997268 0.826788 0.999184 0.953056
7 0.915905 0.97346 0.001842 0.164378 0.998158 0.835622 0.999442 0.955196
8 0.900766 0.969064 0.001178 0.154442 0.998822 0.845558 0.999637 0.957607
9 0.883795 0.96363 0.000744 0.143766 0.999256 0.856234 0.999766 0.960207
10 0.86574 0.957035 0.000502 0.132768 0.999498 0.867232 0.999839 0.962894
11 0.846946 0.949219 0.000338 0.12155 0.999662 0.87845 0.999889 0.965652
12 0.827447 0.9405 0.000214 0.110506 0.999786 0.889494 0.999928 0.968393
13 0.808202 0.930725 0.000156 0.099936 0.999844 0.900064 0.999946 0.971038
14 0.788643 0.919947 9.8e-05 0.08982 0.999902 0.91018 0.999965 0.973595
15 0.769198 0.908606 5.8e-05 0.08029 0.999942 0.91971 0.999979 0.976042
16 0.750192 0.896481 4e-05 0.071464 0.99996 0.928536 0.999985 0.978336
17 0.731505 0.883883 2.6e-05 0.063298 0.999974 0.936702 0.99999 0.980495
18 0.713394 0.871182 1.6e-05 0.055774 0.999984 0.944226 0.999994 0.982527
19 0.695836 0.857885 1.2e-05 0.048996 0.999988 0.951004 0.999995 0.984383
20 0.678353 0.84457 8e-06 0.043292 0.999992 0.956708 0.999997 0.985961
21 0.661346 0.831119 8e-06 0.038172 0.999992 0.961828 0.999997 0.987403
22 0.644908 0.817503 6e-06 0.033442 0.999994 0.966558 0.999997 0.988764
23 0.628634 0.803846 4e-06 0.029246 0.999996 0.970754 0.999998 0.989995
24 0.613001 0.790207 4e-06 0.0257 0.999996 0.9743 0.999998 0.991047
25 0.597897 0.77689 4e-06 0.022492 0.999996 0.977508 0.999998 0.992022
26 0.583056 0.763403 4e-06 0.019664 0.999996 0.980336 0.999998 0.992896
27 0.568552 0.750068 2e-06 0.017148 0.999998 0.982852 0.999999 0.99369
28 0.554449 0.737051 0 0.014996 1 0.985004 1 0.99438
29 0.540723 0.724057 0 0.013196 1 0.986804 1 0.994963
30 0.527145 0.710937 0 0.011516 1 0.988484 1 0.995521
31 0.51406 0.698309 0 0.010134 1 0.989866 1 0.995985
32 0.501241 0.68584 0 0.008898 1 0.991102 1 0.996409
33 0.488703 0.673457 0 0.007844 1 0.992156 1 0.996775
34 0.476464 0.661488 0 0.006896 1 0.993104 1 0.997113
35 0.464579 0.649653 0 0.006048 1 0.993952 1 0.997421
36 0.45272 0.638006 0 0.005278 1 0.994722 1 0.997707
37 0.441338 0.626514 0 0.004622 1 0.995378 1 0.997955
38 0.43011 0.615193 0 0.004036 1 0.995964 1 0.998181
39 0.419307 0.603941 0 0.003586 1 0.996414 1 0.998353
40 0.40867 0.593042 0 0.003172 1 0.996828 1 0.998516
41 0.398167 0.582419 0 0.00283 1 0.99717 1 0.998652
42 0.388039 0.571991 0 0.002534 1 0.997466 1 0.998771
43 0.378079 0.561639 0 0.00227 1 0.99773 1 0.998879
44 0.368373 0.55163 0 0.002014 1 0.997986 1 0.998987
45 0.358849 0.541674 0 0.001786 1 0.998214 1 0.999085
46 0.349504 0.531659 0 0.001604 1 0.998396 1 0.999163
47 0.340381 0.521954 0 0.001466 1 0.998534 1 0.99922
48 0.331402 0.512285 0 0.001314 1 0.998686 1 0.999288
49 0.322506 0.502724 0 0.001198 1 0.998802 1 0.999338
50 0.31379 0.493422 0 0.001092 1 0.998908 1 0.999386
